sku;descripcion;marca;id_categoria;presentacion;unidadcm3;unidadkg;id_proveedor
2047;CUPSXX-XX-X-XXXSTER;SIN DEFINIR;94;Pack;1.1899999999999999;1.1100000000000001;3
3046;CALCXX-XX-X-XXXTOS);FRIZZIO;79;No Asignada;8.0000000000000002E-3;0.01;3
3047;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;100;546.48000000000002;2
3048;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;100;561.22400000000005;2
3049;KIT XX-XX-X-XXXTURA;SIN DEFINIR;79;Unidades;0;0;3
3050;KIT XX-XX-X-XXXTURA;SIN DEFINIR;79;Unidades;0;0;3
3051;DISPXX-XX-X-XXXONAL;SIN DEFINIR;97;Unidades;0.5;0.46999999999999997;3
3052;KIT XX-XX-X-XXXMICO;SIN DEFINIR;79;Unidades;4;0;3
3053;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;690.99599999999998;2
3055;TV LXX-XX-X-XXXMART;SIN DEFINIR;97;Unidades;5.5556000000000001;12.06;3
3056;MARRXX-XX-X-XXXBANA;VIA BANA;48;Baldes;1.4080000000000001E-2;6;2
3057;GRIDXX-XX-X-XXXTOS);GRIDO;38;Unidades;1.76;617.27200000000005;2
3058;MINIXX-XX-X-XXXX1UN;VIA BANA;92;No Asignada;3.6999999999999998E-2;2.8199999999999998;3
3059;MINIXX-XX-X-XXXX1UN;VIA BANA;92;No Asignada;3.6999999999999998E-2;2.8199999999999998;3
3060;MINIXX-XX-X-XXXX1UN;VIA BANA;92;Unidades;3.6999999999999998E-2;2.8199999999999998;3
3061;MINIXX-XX-X-XXXX1UN;VIA BANA;92;No Asignada;3.6999999999999998E-2;2.8199999999999998;3
